fi	sv	en
metsäpaloriski	risk för skogsbrand	forest fire risk
metsäpalovaara	fara för skogsbrand	forest fire danger
metsäpalokausi	skogsbrandssäsong	forest fire season
metsäpaloväli	brandintervall	forest fire interval
palosykli	brandintervall	fire-return interval
metsäpalon vaikutukset	skogsbrandens inverkan	forest fire effects
metsäpalojen toistuvuus	skogsbrandsfrekvens	forest fire frequency
metsäpalon vaikuttavuus	skogsbrandens verkningsgrad	forest fire severity
palon kieleke	finger	finger
palopesäke	brandhärd	hotspot
palon kärki	eldens huvud	head of the fire
palon sivusta	brandens flank	flank of the fire
palon ulkoreuna	eldband	perimeter of fire
palon takaosa	brandens rygg	rear of the fire
tulirintama	brandfront	fire front
heitepalo	kastbrand	spot fire
heite	flygbrand	flying ember
kulotus	bränning	prescribed burning
metsänhoidollinen kulotus	hyggesbränning	silvicultural burning
luonnonhoidollinen kulotus	naturvårdsbränning	biodiversity burning
ennallistamispoltto	restaureringsbränning	restoration burning
ennallistamiskulotus	restaurerande naturvårdsbränning	regeneration slash burning
karuunnuttamiskulotus	bränning i solexponerad sluttning	impoverishment burning
perinneympäristön hoitokulotus	naturvårdsbränning i vårdbiotop	prescribed cultural fire
säästöpuuryhmän poltto	bränning av grupp av naturvårdsträd	burning of retention trees
hevosenkenkäkulotus	hästskobränning	ring burning
laikkukulotus	fläckbränning	spot burning
sivutulitekniikka	parallella tändlinjer mot vind	flanking fire
vastatuulitekniikka	bränning i motvind	backing fire
kaistalesytytys	stegvis medvindsbränning	strip firing
säteittäinen kulotus	stjärntändning på kulle	chevron firing
sisäkkäisten sytytyslinjojen menetelmä	ringtändning	center and circular firing
soihtupalo	fackelbrand	torching
tuulivaikutteinen palo	vindpåverkad brand	wind-driven fire
suurpalo	storbrand	large fire
latvapaloindeksi	toppbrandindex	crown-fire index
liekinkorkeus	flamhöjd	flame height
liekinpituus	flamlängd	flame length
ensi-isku	första angrepp	initial attack
ruohikkopalovaroitus	varning för gräsbrand	grass fire warning
ruohikkopaloindeksi	gräsbrandindex	grass-fire index
luonnon metsäpalo	naturlig skogsbrand	natural forest fire
hosa	brandkvast	fire swatter
kulonkiertämä	brandrefugium	fire refugia
palonsuosija	brandgynnad art	pyrophilous species
palonvaatija	brandberoende art	fire-dependent species
kytöpalo	pyrande brand	smoldering fire
metsäpalovakuutus	försäkring för skogsbrand	forest fire insurance
palamisnopeus	brandhastighet	burning rate
paloekologia	brandekologi	fire ecology
palokoro	brandljud	fire scar
kaskimetsä	svedjeskog	slash-and-burn forest
syttymistodennäköisyys	antändningssannolikhet	ignition probability
palokolmio	brandtriangel	fire triangle
tulipyörre	eldvirvel	fire whirl
tulimyrsky	eldstorm	firestorm
konvektio	konvektion	convection
kulotuksen suorittaja	verkställare av bränning	prescribed burning organization
kulotuksen vastuuhenkilö	ansvarsperson för bränning	prescribed burner
kulotuksen johtaja	bränningsledare	prescribed burn manager
kulotusilmoitus	anmälan om bränning	notice of prescribed burning
kulotuksen turvallisuussuunnitelma	säkerhetsplan för bränning	safety plan for prescribed burning
palonkäyttäytymiskolmio	brandbeteendetriangel	fire behavior triangle
palosää	brandväder	fire weather
palokaivo	brandbrunn	extinguishing water well

